city,state,country,latitude,longitude,population,msa,cluster,pred-MSA
maharagama,western,sri lanka,6.848,79.9265,195355,,451,colombo-dehiwala mount lavinia-maharagama western msa
jihlava,vysocina,czechia,49.3961,15.59124,50100,,7642,jihlava vysocina msa
santa ana,california,united states,33.74557,-117.86783,335400,Los Angeles-Long Beach-Santa Ana CA MSA,133,los angeles-long beach-anaheim california msa
garden city,michigan,united states,42.32559,-83.33104,26920,Detroit-Warren-Livonia MI MSA,157,detroit-windsor-warren michigan-ontario msa
manassas,virginia,united states,38.75095,-77.47527,41764,Washington-Arlington-Alexandria DC-VA-MD-WV MSA,0,new york city-brooklyn-queens new york msa
medford,massachusetts,united states,42.41843,-71.10616,57403,Boston-Cambridge-Quincy MA-NH MSA,79,boston-south boston-worcester massachusetts msa
langhorne,pennsylvania,united states,40.17455,-74.92267,1599,Philadelphia-Camden-Wilmington PA-NJ-DE-MD MSA,0,new york city-brooklyn-queens new york msa
powell,ohio,united states,40.15784,-83.07519,12972,Columbus OH MSA,1225,columbus ohio msa
chengdu,sichuan,china,30.66667,104.06667,13568357,,7643,chengdu sichuan msa
dubai,dubai,united arab emirates,25.07725,55.30927,3478300,,7644,dubai dubai msa
suzhou,anhui,china,33.63611,116.97889,1647642,,7645,suzhou anhui msa
greensboro,north carolina,united states,36.07264,-79.79198,285342,Greensboro-High Point NC MSA,1851,greensboro-burlington north carolina msa
caledon,ontario,canada,43.86544,-79.99322,66502,,4588,caledon ontario msa
bangalore,karnataka,india,12.9699,77.598,13707000,,5833,bangalore-bengaluru-yelahanka karnataka msa
hong kong,central and western,china,22.27832,114.17469,7482500,,84,shenzhen-hong kong-kowloon guangdong-central and western-kowloon city msa
wroclaw,dolnoslaskie,poland,51.11,17.0325,638586,,2827,wroclaw-wrocław dolnoslaskie-lower silesia msa
phoenix,arizona,united states,33.44838,-112.07404,1608139,Phoenix-Mesa-Scottsdale AZ MSA,612,phoenix-mesa-chandler arizona msa
nagpur,maharashtra,india,21.14631,79.08491,2228018,,7646,nagpur maharashtra msa
oakland,california,united states,37.80437,-122.2708,419267,San Francisco-Oakland-Fremont CA MSA,264,san jose-san francisco-oakland california msa
provo,utah,united states,40.23384,-111.65853,115264,Provo-Orem UT MSA,294,salt lake city-west valley city-provo utah msa
sao jose,santa catarina,brazil,-28.21171,-49.1632,200000,,2489,sao jose santa catarina msa
stuttgart,baden wurttemberg,germany,48.78232,9.17702,589793,,155,frankfurt-frankfurt am main-stuttgart hesse-baden wurttemberg msa
bothell,washington,united states,47.76232,-122.2054,42939,Seattle-Tacoma-Bellevue WA MSA,242,seattle-tacoma-bellevue washington msa
halifax,england,united kingdom,53.71667,-1.85,82624,,18,london-manchester-birstall england-manchester-leicester msa
sevilla,andalusia,spain,37.38283,-5.97317,703206,,93,sevilla-dos hermanas-alcala de guadaira andalusia msa
