,city,state,country,latitude,longitude,population,msa
396,cabra,andalusia,spain,37.47249,-4.44206,21352,
397,sainte suzanne,reunion,reunion,-20.90616,55.60788,20530,
398,jefferson hills,pennsylvania,united states,40.29118,-79.93199,11360,Pittsburgh PA MSA
399,saint nicolas,wallonia,belgium,50.62837,5.53243,22586,
400,belas,lisbon,portugal,38.7767,-9.26353,21019,
401,thayngen,schaffhausen,switzerland,47.74717,8.70724,4120,
402,canton,missouri,united states,40.1295,-91.51852,2377,Canton-Massillon OH MSA
403,ortuella,basque country,spain,43.31113,-3.05617,8360,
404,solok,west sumatra,indonesia,-0.8006,100.6571,48372,
405,grand,flanders,belgium,51.2,4.4667,0,
406,alvik,norrbotten,sweden,65.51667,21.76667,771,
407,palmital,sao paulo,brazil,-22.78889,-50.2175,18539,
408,grimaud,provence alpes cote d azur,france,43.27329,6.52171,4122,
409,dommelen,north brabant,netherlands,51.34624,5.43394,1220,
410,mission bay,auckland,new zealand,-36.85472,174.83167,4341,
411,muntendam,groningen,netherlands,53.1336,6.8686,4748,
412,oost souburg,zeeland,netherlands,51.4636,3.6008,541,
413,california polytechnic state university,california,united states,35.3053,-120.6655,0,
415,rosebud,alberta,canada,51.3003,-112.9507,80,
416,martelli,abruzzo,italy,42.36003,14.26864,26,
417,parma,idaho,united states,43.78516,-116.94321,2082,Boise City-Nampa ID MSA
418,seatac,washington,united states,47.44846,-122.29217,28215,
419,montplaisir,flanders,belgium,50.7123,4.1192,0,
422,kauniainen,uusimaa,finland,60.21209,24.72756,8688,
423,nijeveen,drenthe,netherlands,52.7328,6.1675,2860,
424,griffin,queensland,australia,-27.27149,153.03942,6703,Atlanta-Sandy Springs-Marietta GA MSA
425,gondar,amhara,ethiopia,12.6,37.46667,153914,
426,lindsborg,kansas,united states,38.57362,-97.67448,3383,KS NONMETROPOLITAN AREA
427,chepen,la libertad,peru,-7.22436,-79.42476,41992,
428,forges les eaux,normandy,france,49.61391,1.54449,3775,
429,crozon,brittany,france,48.24643,-4.48993,8123,
430,saint pair sur mer,normandy,france,48.81455,-1.56761,3741,
431,adra,andalusia,spain,36.74831,-3.02076,24373,
432,lassigny,hauts de france,france,49.58828,2.84289,1317,
433,baeza,andalusia,spain,37.99384,-3.47103,16253,
436,curanilahue,biobio,chile,-37.47793,-73.34495,30611,
437,leppavirta,north savo,finland,62.49009,27.78262,10936,
438,carovigno,apulia,italy,40.70626,17.65847,14043,
439,hornbæk,capital region,denmark,56.09027,12.45693,5334,
440,bonao,monsenor nouel,dominican republic,18.93687,-70.40923,73269,
442,gardone riviera,lombardy,italy,45.62396,10.56682,2059,
443,emory,virginia,united states,36.77289,-81.83623,1251,Kingsport-Bristol-Bristol TN-VA MSA
444,china grove,north carolina,united states,35.56931,-80.58173,4182,NC NONMETROPOLITAN AREA
445,salbris,centre,france,47.4242,2.05124,5810,
446,ulysses,kansas,united states,37.58141,-101.35517,6097,KS NONMETROPOLITAN AREA
447,oppenweiler,baden wurttemberg,germany,48.9827,9.4585,4295,
448,north acton,ealing,united kingdom,51.528,-0.2577,0,
450,thompson,england,united kingdom,52.53384,0.83038,343,
451,kalemie,tanganyika,democratic republic of the congo,-5.94749,29.19471,146974,
453,schwaig,bavaria,germany,49.46955,11.20064,8340,
454,hamilton college,new york,united states,43.0527,-75.4077,0,
455,ostia,odisha,india,20.0285,85.0342,0,
456,corte franca,lombardy,italy,45.62998,9.98846,6282,
458,malonne,wallonia,belgium,50.43969,4.79562,5467,
459,cavallino,apulia,italy,40.3102,18.20221,7959,
461,ardsley,new york,united states,41.01065,-73.84375,4638,New York-Northern New Jersey-Long Island NY-NJ-PA MSA
462,pacheco,california,united states,37.98353,-122.07524,3685,
464,ga rankuwa,north west,south africa,-25.61692,27.99471,90945,
466,pleasant hills,pennsylvania,united states,40.33563,-79.96061,8252,
467,l air,wallonia,belgium,50.6114,4.0573,0,
469,asnæs,zealand,denmark,55.81229,11.50129,3028,
471,hooglanderveen,utrecht,netherlands,52.1889,5.4292,0,
472,le coteau,auvergne rhone alpes,france,46.01919,4.0923,7571,
474,minot air force base,north dakota,united states,48.42087,-101.33914,5521,ND NONMETROPOLITAN AREA
475,stajer,kostel,slovenia,45.47709,14.8547,4,
476,kirke hvalsø,zealand,denmark,55.5917,11.86253,4086,
477,perry,iowa,united states,41.8386,-94.10718,8089,Des Moines-West Des Moines IA MSA
478,march arb,california,united states,33.8888,-117.2776,989,Riverside-San Bernardino-Ontario CA MSA
479,mex,valais,switzerland,46.18548,7.00004,538,
481,casier,veneto,italy,45.64229,12.29328,3508,
482,surfside beach,south carolina,united states,33.606,-78.97309,4280,
483,derwood,maryland,united states,39.11733,-77.16109,2381,Washington-Arlington-Alexandria DC-VA-MD-WV MSA
484,vallirana,catalonia,spain,41.38676,1.93205,14066,
485,eckernforde,schleswig holstein,germany,54.46854,9.83824,23383,
486,howick,auckland,new zealand,-36.89359,174.93174,11067,
487,castle donnington,leicestershire,united kingdom,52.8444,-1.3377,6416,
488,rockford,minnesota,united states,45.0883,-93.73441,4358,Minneapolis-St. Paul-Bloomington MN-WI MSA
489,annandale,new south wales,australia,-33.88333,151.16667,9259,
490,coaticook,quebec,canada,45.13339,-71.79907,7021,
492,areia branca,rio grande do norte,brazil,-4.95611,-37.13694,18372,
493,villefranche,occitanie,france,43.42401,0.72709,143,
495,new brighton,canterbury,new zealand,-43.51667,172.73333,6180,
497,frasnes lez gosselies,wallonia,belgium,50.53838,4.45232,3356,
498,oak ridge,north carolina,united states,36.17347,-79.98893,6671,Greensboro-High Point NC MSA
